latitude,longitude,api
3812809.9511513487,-11439960.202917663,42003335950000
3812276.0034870463,-11439980.57438448,42003335970000
3786220.8313576262,-11411779.339864874,42003393990000
3681982.2775329608,-10527519.0873205,42005303930000
3255405.7503087134,-10796779.005609741,42007309000000
3981855.0377255795,-10964696.887746021,42009417870000
3981688.6831345563,-10964462.782856883,42009418160000
3359677.4156611618,-10978376.494691644,42013017920000
3359232.7451337865,-10974164.83307697,42013018320000
3359517.113897026,-10975532.393021367,42013018840000
3359289.6946685477,-10974923.8093652,42013018850000
3360151.976222201,-10977564.752964778,42013030720000
3360386.529595134,-10977427.718671614,42013031040000
3359933.3177510793,-10978112.556178974,42013300070000
3359190.6687379116,-10976395.230394505,42013340970000
3359209.990812428,-10976004.721620802,42013341370000
3360162.1464717565,-10977876.447539002,42013341390000
3359399.780849187,-10978241.352829821,42013341470000
3358851.138737561,-10981311.210427428,42013341810000
3369824.6271460857,-10946394.627625717,42013342710000
3340052.4145203205,-10959800.277304497,42013342720000
3341179.012426951,-10960066.776165457,42013342730000
3340908.493263528,-10959457.969870308,42013342790000
3340158.913598513,-10960103.622916909,42013342820000
3341294.025999219,-10959148.390366413,42013342840000
3341836.3550849166,-10958429.48909487,42013342850000
3340684.693919354,-10958352.010729278,42013342860000
3338972.11280926,-10965206.28573589,42013342890000
3341438.49258311,-10958682.740936425,42013342900000
3338597.3088929155,-10965463.211120643,42013342930000
3339774.175430797,-10965325.063632568,42013343000000
3368883.604599797,-10947201.69393397,42013343030000
3369649.0628854963,-10947460.511750063,42013343040000
3334897.6872601393,-10961732.89498416,42013343160000
3370054.645312021,-10959016.588089313,42013343190000
3355825.626542189,-10933352.992681831,42013343260000
3356154.0220178794,-10932931.203131216,42013343330000
3356238.409788838,-10934098.833270147,42013343350000
3355339.5297917086,-10931695.779422391,42013343490000
3355342.8339184467,-10931691.771920724,42013343520000
3334651.9114149036,-10960727.457343316,42013343650000
3356788.468580105,-10927470.536829844,42013343680000
3334979.9096209835,-10960440.253057068,42013343700000
3335651.6650630184,-10960197.131289177,42013343760000
3357863.9962455314,-10931660.825102283,42013344240000
3356687.300781476,-10930053.48297472,42013344350000
3357804.1294295224,-10956014.5240616,42013344420000
3351440.091853369,-10938114.12730306,42013344450000
3338599.4665553477,-10988764.050336037,42013344460000
3331946.9009606116,-10986998.968490018,42013344470000
3331323.7900005784,-10985267.727769202,42013344480000
3357457.136028786,-10928452.26341915,42013344520000
3356117.54734988,-10930304.731065439,42013344640000
3354221.3844686835,-10942792.440223139,42013344670000
3354226.3402400604,-10942791.549667213,42013344680000
3356336.5239588344,-10944104.229102647,42013344690000
3354408.180212367,-10942548.76185779,42013344710000
3350496.6942950278,-10939251.589859987,42013344730000
3350701.095628384,-10939003.458715009,42013344740000
3356269.546978934,-10929773.737094356,42013344790000
3356414.1770111807,-10936079.540969834,42013344860000
3367176.526883264,-10956674.871280985,42013344890000
3356752.5005428866,-10928458.608630124,42013344900000
3336736.2652210435,-10971938.331941616,42013345270000
3355041.0180560052,-10937744.880552098,42013345380000
3355050.2948198984,-10937752.895555437,42013345390000
3331177.530603202,-10967241.762625048,42013345400000
3360192.0216251155,-10935342.160662817,42013345410000
3360201.5562627567,-10935349.953027172,42013345420000
3354635.8966874494,-10938256.950209748,42013345470000
3354645.046092044,-10938264.742574103,42013345480000
3349630.5961288535,-10935578.714580752,42013345490000
3355460.130952557,-10956914.764783645,42013345500000
3331190.596208159,-10969377.315736424,42013345530000
3331150.130929634,-10967489.448492061,42013345580000
3349475.116037902,-10935770.518063389,42013345730000
3349469.399892881,-10935776.640635384,42013345740000
3362189.4878711705,-10938904.495687691,42013345810000
3352154.354338279,-10943083.429372072,42013345890000
3360191.0045975065,-10937130.619601902,42013345930000
3360182.359865997,-10937138.74592473,42013346070000
3356432.6053802636,-10941603.770700447,42013346080000
3356443.154044477,-10941609.336674986,42013346090000
3341007.890325575,-10973486.006822115,42013346100000
3364059.70860302,-10936274.238759229,42013346110000
3333729.2457507597,-10964839.376694238,42013346130000
3349488.072642423,-10935792.448003074,42013346160000
3360594.64358259,-10938842.37941183,42013346230000
3360582.5660165804,-10938840.153022014,42013346240000
3345007.6214406746,-10969289.039380224,42013346280000
3333236.2193670194,-10964954.369728226,42013346330000
3368311.4163619825,-10944282.340287914,42013346350000
3343916.123529486,-10969033.449829364,42013346390000
3358052.7500844398,-10936054.04880644,42013346460000
3360656.4300404605,-10931960.83112997,42013346480000
3360648.674934203,-10931970.070647707,42013346490000
3337904.9711998077,-10957913.857213516,42013346530000
